Block X, Block Y, Block Z, Grid X, Grid Y, Grid Z, GPU time, CPU time, Init time, Transfer host-GPU, Transfer GPU-host, Block size, Grid size, Speedup, Speedup w/ transfer
256, 1, 1, 256, 1, 1, 0.02336, 2.806, 0.001332, 0.05721, 4.857e-05, 256, 256, 120.11986301369863, 34.826858632245255
128, 2, 1, 256, 1, 1, 0.02328, 2.832, 0.001351, 0.05516, 5.109e-05, 256, 256, 121.64948453608247, 36.104028556858744
64, 4, 1, 256, 1, 1, 0.02327, 2.81, 0.001356, 0.0558, 5.034e-05, 256, 256, 120.75633863343361, 35.538130770203615
32, 8, 1, 256, 1, 1, 0.0233, 2.842, 0.001343, 0.05764, 4.818e-05, 256, 256, 121.97424892703863, 35.11242895972325
16, 16, 1, 256, 1, 1, 0.02654, 2.94, 0.002239, 0.05774, 5.073e-05, 256, 256, 110.77618688771665, 34.88372093023256
8, 32, 1, 256, 1, 1, 0.04173, 2.94, 0.00138, 0.05626, 5.933e-05, 256, 256, 70.4529115744069, 30.003061536891522
4, 64, 1, 256, 1, 1, 0.07457, 2.836, 0.001342, 0.05665, 5.152e-05, 256, 256, 38.03137991149256, 21.61255906111873
2, 128, 1, 256, 1, 1, 0.1352, 2.811, 0.00133, 0.05743, 5.327e-05, 256, 256, 20.791420118343197, 14.592742563463634
1, 256, 1, 256, 1, 1, 0.2466, 2.951, 0.001388, 0.05671, 5.357e-05, 256, 256, 11.966747769667478, 9.729319837789719
128, 1, 2, 256, 1, 1, 0.02325, 2.843, 0.001354, 0.0561, 5.171e-05, 256, 256, 122.27956989247312, 35.82860743541273
64, 2, 2, 256, 1, 1, 0.02326, 2.941, 0.001381, 0.0566, 5.121e-05, 256, 256, 126.4402407566638, 36.826947157525666
32, 4, 2, 256, 1, 1, 0.02326, 2.939, 0.001396, 0.05647, 5.092e-05, 256, 256, 126.3542562338779, 36.86190894268155
16, 8, 2, 256, 1, 1, 0.02657, 2.812, 0.001396, 0.05614, 4.987e-05, 256, 256, 105.83364697026721, 33.99830733889493
8, 16, 2, 256, 1, 1, 0.04177, 2.806, 0.001318, 0.05655, 4.862e-05, 256, 256, 67.17740004788125, 28.53946297803092
4, 32, 2, 256, 1, 1, 0.07453, 2.962, 0.001977, 0.06673, 5.2e-05, 256, 256, 39.74238561653026, 20.968427014016708
2, 64, 2, 256, 1, 1, 0.1352, 2.828, 0.001356, 0.05603, 5.28e-05, 256, 256, 20.91715976331361, 14.788474611724101
1, 128, 2, 256, 1, 1, 0.2479, 2.939, 0.001398, 0.05688, 5.399e-05, 256, 256, 11.855586930213796, 9.64302119561651
64, 1, 4, 256, 1, 1, 0.02329, 2.939, 0.001378, 0.05654, 5.205e-05, 256, 256, 126.1914984972091, 36.815733433546285
32, 2, 4, 256, 1, 1, 0.02327, 2.806, 0.001336, 0.05513, 5.099e-05, 256, 256, 120.58444348947143, 35.79081632653062
16, 4, 4, 256, 1, 1, 0.02655, 2.94, 0.00141, 0.0576, 5.204e-05, 256, 256, 110.73446327683615, 34.93761140819964
8, 8, 4, 256, 1, 1, 0.04175, 2.812, 0.001368, 0.05577, 5.131e-05, 256, 256, 67.35329341317365, 28.835110746513536
4, 16, 4, 256, 1, 1, 0.07464, 2.939, 0.001401, 0.05667, 5.231e-05, 256, 256, 39.37566988210075, 22.38214911278654
2, 32, 4, 256, 1, 1, 0.1353, 2.94, 0.001384, 0.05877, 5.188e-05, 256, 256, 21.729490022172946, 15.149172978822072
1, 64, 4, 256, 1, 1, 0.248, 2.942, 0.001396, 0.0566, 5.733e-05, 256, 256, 11.862903225806452, 9.658568614576495
