Block X, Block Y, Block Z, Grid X, Grid Y, Grid Z, GPU time, CPU time, Init time, Transfer host-GPU, Transfer GPU-host, Block size, Grid size, Speedup, Speedup w/ transfer
1, 1, 1, 65536, 1, 1, 0.6154, 2.938, 0.001396, 0.05889, 5.195e-05, 1, 65536, 4.774130646733832, 4.357175695917188
2, 1, 1, 32768, 1, 1, 0.3364, 2.924, 0.001384, 0.05658, 5.165e-05, 2, 32768, 8.692033293697978, 7.440582217924576
4, 1, 1, 16384, 1, 1, 0.1872, 2.829, 0.001397, 0.05614, 5.175e-05, 4, 16384, 15.112179487179487, 11.625708884688091
8, 1, 1, 8192, 1, 1, 0.09499, 2.922, 0.001373, 0.05655, 5.3e-05, 8, 8192, 30.761132750815875, 19.28203774580969
16, 1, 1, 4096, 1, 1, 0.04815, 2.807, 0.001316, 0.05618, 5.1e-05, 16, 4096, 58.29698857736241, 26.90501293971053
32, 1, 1, 2048, 1, 1, 0.02501, 2.828, 0.001359, 0.0559, 5.111e-05, 32, 2048, 113.0747700919632, 34.952416264985786
64, 1, 1, 1024, 1, 1, 0.02339, 2.828, 0.00137, 0.05532, 5.153e-05, 64, 1024, 120.90637024369387, 35.929360945242024
128, 1, 1, 512, 1, 1, 0.02339, 2.802, 0.001328, 0.05537, 5.116e-05, 128, 512, 119.79478409576741, 35.57643473844591
256, 1, 1, 256, 1, 1, 0.02341, 2.831, 0.00132, 0.05568, 5.617e-05, 256, 256, 120.93122597180692, 35.79466430648628
512, 1, 1, 128, 1, 1, 0.02482, 2.811, 0.001383, 0.05553, 5.159e-05, 512, 128, 113.25543916196617, 34.984443061605475
1024, 1, 1, 64, 1, 1, 0.0244, 2.918, 0.001397, 0.05654, 5.654e-05, 1024, 64, 119.59016393442623, 36.05139609587349
