Block X, Block Y, Block Z, Grid X, Grid Y, Grid Z, GPU time, CPU time, Init time, Transfer host-GPU, Transfer GPU-host, Block size, Grid size, Speedup, Speedup w/ transfer
64, 2, 2, 256, 1, 1, 0.02325, 2.922, 0.00138, 0.05889, 5.231e-05, 256, 256, 125.67741935483872, 35.57341124908693
64, 2, 2, 128, 2, 1, 0.02323, 2.808, 0.00133, 0.05592, 5.074e-05, 256, 256, 120.87817477399913, 35.47694251421352
64, 2, 2, 64, 4, 1, 0.02322, 2.94, 0.001406, 0.05644, 5.161e-05, 256, 256, 126.61498708010335, 36.90685413005273
64, 2, 2, 32, 8, 1, 0.02322, 2.939, 0.001378, 0.05659, 5.101e-05, 256, 256, 126.57192075796726, 36.824959278285924
64, 2, 2, 16, 16, 1, 0.02331, 2.94, 0.001378, 0.05634, 5.178e-05, 256, 256, 126.12612612612612, 36.911487758945384
64, 2, 2, 8, 32, 1, 0.02323, 2.939, 0.001361, 0.05801, 5.205e-05, 256, 256, 126.51743435213086, 36.176760216642045
64, 2, 2, 4, 64, 1, 0.02326, 2.848, 0.001323, 0.0582, 5.137e-05, 256, 256, 122.44196044711951, 34.96194451264424
64, 2, 2, 2, 128, 1, 0.02323, 2.966, 0.002855, 0.06816, 5.226e-05, 256, 256, 127.67972449418855, 32.454316664842985
64, 2, 2, 1, 256, 1, 0.02322, 2.812, 0.001348, 0.0558, 5.192e-05, 256, 256, 121.10249784668387, 35.58592761326246
64, 2, 2, 128, 1, 2, 0.02323, 2.812, 0.001339, 0.0567, 4.857e-05, 256, 256, 121.05036590615582, 35.180783185287126
64, 2, 2, 64, 2, 2, 0.02324, 2.964, 0.002514, 0.06015, 4.915e-05, 256, 256, 127.53872633390705, 35.54383019546708
64, 2, 2, 32, 4, 2, 0.02325, 2.808, 0.001316, 0.05498, 5.12e-05, 256, 256, 120.77419354838709, 35.89415825131024
64, 2, 2, 16, 8, 2, 0.02332, 2.94, 0.001443, 0.05651, 5.083e-05, 256, 256, 126.07204116638079, 36.8282600526118
64, 2, 2, 8, 16, 2, 0.02331, 2.843, 0.001333, 0.05605, 5.132e-05, 256, 256, 121.96482196482197, 35.82409274193548
64, 2, 2, 4, 32, 2, 0.02323, 2.928, 0.001395, 0.05721, 5.083e-05, 256, 256, 126.04390873869995, 36.39980109398309
64, 2, 2, 2, 64, 2, 0.02326, 2.814, 0.001346, 0.05487, 5.065e-05, 256, 256, 120.98022355975925, 36.0168949187252
64, 2, 2, 1, 128, 2, 0.02325, 2.854, 0.001343, 0.05566, 5.083e-05, 256, 256, 122.75268817204302, 36.16778608541376
64, 2, 2, 64, 1, 4, 0.02326, 2.83, 0.001331, 0.05558, 5.151e-05, 256, 256, 121.66809974204644, 35.89548452562152
64, 2, 2, 32, 2, 4, 0.02323, 2.857, 0.001336, 0.0555, 5.102e-05, 256, 256, 122.98751614291865, 36.28858122697829
64, 2, 2, 16, 4, 4, 0.02332, 2.939, 0.002209, 0.06294, 5.311e-05, 256, 256, 126.02915951972555, 34.07141201020171
64, 2, 2, 8, 8, 4, 0.02327, 2.943, 0.001428, 0.05656, 5.152e-05, 256, 256, 126.4718521701762, 36.865839909808344
64, 2, 2, 4, 16, 4, 0.02327, 2.958, 0.002726, 0.06051, 4.911e-05, 256, 256, 127.1164589600344, 35.30675578897112
64, 2, 2, 2, 32, 4, 0.02322, 2.81, 0.001414, 0.05626, 5.143e-05, 256, 256, 121.0163652024117, 35.35480624056367
64, 2, 2, 1, 64, 4, 0.02323, 2.957, 0.001429, 0.05731, 5.243e-05, 256, 256, 127.29229444683598, 36.7146759374224
64, 2, 2, 32, 1, 8, 0.02331, 2.938, 0.001381, 0.05642, 5.699e-05, 256, 256, 126.04032604032604, 36.84936661231657
64, 2, 2, 16, 2, 8, 0.02334, 2.836, 0.001399, 0.05788, 5.217e-05, 256, 256, 121.50814053127678, 34.91750800295493
64, 2, 2, 8, 4, 8, 0.0233, 2.843, 0.00134, 0.0561, 5.065e-05, 256, 256, 122.01716738197425, 35.80604534005038
64, 2, 2, 4, 8, 8, 0.02332, 2.828, 0.001365, 0.05607, 5.127e-05, 256, 256, 121.26929674099485, 35.62161481294873
64, 2, 2, 2, 16, 8, 0.02331, 2.939, 0.001379, 0.05701, 5.147e-05, 256, 256, 126.08322608322608, 36.59113545816733
64, 2, 2, 1, 32, 8, 0.02329, 2.845, 0.001344, 0.05623, 5.12e-05, 256, 256, 122.15543151567196, 35.7771629778672
64, 2, 2, 16, 1, 16, 0.02339, 2.925, 0.001398, 0.05654, 5.239e-05, 256, 256, 125.05344164172722, 36.59452020517953
64, 2, 2, 8, 2, 16, 0.02332, 2.94, 0.001389, 0.05716, 5.049e-05, 256, 256, 126.07204116638079, 36.53081510934394
64, 2, 2, 4, 4, 16, 0.02337, 2.811, 0.001327, 0.05561, 5.097e-05, 256, 256, 120.2824133504493, 35.59128893390732
64, 2, 2, 2, 8, 16, 0.02333, 2.94, 0.002728, 0.05726, 5.123e-05, 256, 256, 126.01800257179598, 36.480952971832735
64, 2, 2, 1, 16, 16, 0.02336, 2.842, 0.00136, 0.05641, 5.11e-05, 256, 256, 121.6609589041096, 35.62742885796665
64, 2, 2, 8, 1, 32, 0.02337, 2.812, 0.001388, 0.05736, 4.88e-05, 256, 256, 120.32520325203252, 34.83215657128701
